setting,scope,bucket_type,bucket,bucket_label,benign_total,ug_fpr,noisy_fpr,delta_fpr,delta_fp,ug_mean_prob_attack,noisy_mean_prob_attack,delta_mean_prob_attack
batch2,weak_topology_ood,weak_bucket,abstain,Abstain,330,0.5848484848484848,0.6424242424242425,-0.05757575757575761,-19,0.3533220580129912,0.3947985909201882,-0.041476532907196995
batch2,weak_topology_ood,weak_bucket,weak_benign,Weak benign,708,0.012711864406779662,0.05508474576271186,-0.0423728813559322,-30,0.14180370373914472,0.20269765422842598,-0.06089395048928126
batch2,weak_topology_ood,weak_bucket,weak_attack,Weak attack,3,1.0,1.0,0.0,0,0.874586284160614,0.8221202294031779,0.052466054757436154
batch2,weak_topology_ood,group_bucket,low_rho_low_uncertainty,Low-rho / low-u,270,0.022222222222222223,0.08518518518518518,-0.06296296296296296,-17,0.14332591692606608,0.20653312647784197,-0.06320720955177589
batch2,weak_topology_ood,group_bucket,low_rho_high_uncertainty,Low-rho / high-u,285,0.15789473684210525,0.17894736842105263,-0.02105263157894738,-6,0.19288272188420882,0.24790693918863932,-0.055024217304430495
batch2,weak_topology_ood,group_bucket,high_rho_low_uncertainty,High-rho / low-u,210,0.014285714285714285,0.0761904761904762,-0.061904761904761914,-13,0.14186629000164214,0.2051680224282401,-0.06330173242659795
batch2,weak_topology_ood,group_bucket,high_rho_high_uncertainty,High-rho / high-u,276,0.5471014492753623,0.5942028985507246,-0.047101449275362306,-13,0.3483897084775178,0.38680115298948425,-0.03841144451196643
batch2,weak_attack_strategy_ood,weak_bucket,abstain,Abstain,330,0.593939393939394,0.5848484848484848,0.00909090909090915,3,0.34676896875554863,0.37464789188269415,-0.027878923127145516
batch2,weak_attack_strategy_ood,weak_bucket,weak_benign,Weak benign,708,0.00847457627118644,0.009887005649717515,-0.0014124293785310743,-1,0.184949624336372,0.2016568264718783,-0.016707202135506305
batch2,weak_attack_strategy_ood,weak_bucket,weak_attack,Weak attack,3,1.0,1.0,0.0,0,0.8320728143056234,0.8200576901435852,0.012015124162038204
batch2,weak_attack_strategy_ood,group_bucket,low_rho_low_uncertainty,Low-rho / low-u,285,0.021052631578947368,0.017543859649122806,0.003508771929824562,1,0.18780610937821238,0.2055844976190935,-0.017778388240881127
batch2,weak_attack_strategy_ood,group_bucket,low_rho_high_uncertainty,Low-rho / high-u,291,0.15807560137457044,0.15120274914089346,0.006872852233676979,2,0.22151951937331366,0.23990526232113132,-0.018385742947817668
batch2,weak_attack_strategy_ood,group_bucket,high_rho_low_uncertainty,High-rho / low-u,210,0.0,0.009523809523809525,-0.009523809523809525,-2,0.18652031194596064,0.20397022792271205,-0.017449915976751412
batch2,weak_attack_strategy_ood,group_bucket,high_rho_high_uncertainty,High-rho / high-u,255,0.6,0.596078431372549,0.0039215686274509665,1,0.3557573580274395,0.38285981720569084,-0.027102459178251326
batch2,label_prior_shift_ood,weak_bucket,abstain,Abstain,831,0.5703971119133574,0.6209386281588448,-0.05054151624548742,-42,0.3841007108722783,0.4190273170149857,-0.03492660614270737
batch2,label_prior_shift_ood,weak_bucket,weak_benign,Weak benign,1431,0.018867924528301886,0.039133473095737246,-0.02026554856743536,-29,0.24016125063892846,0.2500127263205773,-0.009851475681648847
batch2,label_prior_shift_ood,weak_bucket,weak_attack,Weak attack,0,0.0,0.0,0.0,0,0.0,0.0,0.0
batch2,label_prior_shift_ood,group_bucket,low_rho_low_uncertainty,Low-rho / low-u,597,0.01675041876046901,0.031825795644891124,-0.015075376884422113,-9,0.2405612121275322,0.25028940421252993,-0.009728192084997728
batch2,label_prior_shift_ood,group_bucket,low_rho_high_uncertainty,Low-rho / high-u,468,0.10683760683760683,0.1282051282051282,-0.02136752136752136,-10,0.2584682652074048,0.2716980958596254,-0.013229830652220609
batch2,label_prior_shift_ood,group_bucket,high_rho_low_uncertainty,High-rho / low-u,420,0.030952380952380953,0.07857142857142857,-0.047619047619047616,-20,0.24508663132077171,0.25647833006722587,-0.011391698746454154
batch2,label_prior_shift_ood,group_bucket,high_rho_high_uncertainty,High-rho / high-u,777,0.5508365508365508,0.592020592020592,-0.041184041184041176,-32,0.38010794346243565,0.41400455784153295,-0.0338966143790973
