setting,stress_kind,protocol,stress_level,method,n,covered_ratio_after_mean,f1_mean,f1_std,fpr_mean,fpr_std,ece_mean,ece_std
batch2,noise,weak_topology_ood,0.45,cdro_ug,3,1.0,0.8581624684946357,0.007466978572963273,0.20461095100864554,0.08247312980549962,0.2591051608324051,0.031170566525533936
batch2,noise,weak_topology_ood,0.45,noisy_ce,3,1.0,0.8849803062489028,0.039306597759644686,0.08741594620557157,0.11735630857704722,0.3578425844510396,0.036389638431988114
batch2,noise,weak_topology_ood,0.45,posterior_ce,3,1.0,0.8464624558893724,0.04257750668796954,0.2756964457252642,0.09160155918725352,0.26567260424296063,0.09010053304487688
main,coverage,weak_attack_strategy_ood,0.0,cdro_ug,3,1.0,0.8843323021232848,0.00789011114142507,0.3010007698229407,0.023248142987746735,0.22072924921909967,0.0879321875960167
main,coverage,weak_attack_strategy_ood,0.0,noisy_ce,3,1.0,0.886084844415305,0.01736285438349564,0.2963818321785989,0.05082580705232969,0.16730848451455435,0.07113833456777369
main,coverage,weak_attack_strategy_ood,0.0,posterior_ce,3,1.0,0.8456630925063332,0.014280864331511144,0.42032332563510394,0.04636226304823263,0.22214137762784958,0.09041642341900215
main,coverage,weak_attack_strategy_ood,0.15,cdro_ug,3,0.8503225806451613,0.8801417114876526,0.005606063512111381,0.31331793687451887,0.016707108863903534,0.22147168715794882,0.08851368485741512
main,coverage,weak_attack_strategy_ood,0.15,noisy_ce,3,0.8503225806451613,0.8903651971670197,0.005101939728810265,0.28329484218629714,0.014847807176278607,0.21505769590536752,0.09365553122697079
main,coverage,weak_attack_strategy_ood,0.15,posterior_ce,3,0.8503225806451613,0.8317423179676556,0.012555913761388355,0.4657428791377983,0.04139901357890302,0.22555850197871527,0.09170586749571248
main,coverage,weak_attack_strategy_ood,0.3,cdro_ug,3,0.7,0.88377941608793,0.0047844881151072145,0.302540415704388,0.014047950416393111,0.22143310805161795,0.088007302830969
main,coverage,weak_attack_strategy_ood,0.3,noisy_ce,3,0.7,0.8838410327887496,0.010191126800396563,0.302540415704388,0.030200223627302597,0.16877743353446326,0.0745925306514701
main,coverage,weak_attack_strategy_ood,0.3,posterior_ce,3,0.7,0.8406613720134044,0.014009506710677919,0.43648960739030024,0.045432599475533464,0.22416114310423532,0.09138531570438696
main,coverage,weak_attack_strategy_ood,0.45,cdro_ug,3,0.5496774193548387,0.8793738573190846,0.006606086318861032,0.31562740569668973,0.01964180265153668,0.22390271226565042,0.08739390231302833
main,coverage,weak_attack_strategy_ood,0.45,noisy_ce,3,0.5496774193548387,0.8906875662602567,0.01013982141171905,0.2825250192455735,0.029243140743991633,0.21691274642944336,0.09502816784362934
main,coverage,weak_attack_strategy_ood,0.45,posterior_ce,3,0.5496774193548387,0.839974862747597,0.014963302383999495,0.43879907621247116,0.04866352772680247,0.22332217047611871,0.09196557344214493
main,coverage,weak_topology_ood,0.0,cdro_ug,3,1.0,0.8913019286861077,0.02892180437546683,0.2386451116243264,0.13644120807770085,0.17149967948595682,0.08888994776390274
